name,type,cuisine,address,lat,lon,phone,website,opening_hours
Andy's Pizza,restaurant,burger;pizza;regional,Bulevardul Ștefan cel Mare și Sfânt,47.0280410,28.8296509,+373 22 265-434,https://andys.md/,Mo-Su 09:30-23:00
Rock'n'Roll Cafe,cafe,,Strada Vlaicu Pârcălab,47.0231792,28.8357131,,,24/7
La Taifas,restaurant,regional;romanian,Strada București,47.0203607,28.8294585,,,Mo-Su 10:00-23:00
Andy's Pizza,restaurant,pizza,Bulevardul Moscova,47.0470380,28.8633440,+373 22 265-427,https://andys.md/,Mo-Su 09:00-23:00
Twister,fast_food,kebab,Bulevardul Moscova,47.0474054,28.8629584,,,
Andy's Pizza,restaurant,pizza;burger,Strada Ion Creangă,47.0277343,28.7941386,+373 22 265-428,https://andys.md/,Mo-Su 10:00-22:00
La Plăcinte,restaurant,,Strada Mitropolit Dosoftei,47.0278638,28.8334908,+373 22 265 430,https://www.laplacinte.md/,Mo-Su 09:00-22:00
Andy's Pizza,restaurant,burger;pizza;regional,Strada Alba Iulia,47.0349403,28.7757654,+373 22 210 210,https://www.andys.md,Mo-Su 10:00-23:00
Andy's Pizza,restaurant,pizza;regional;burger,Strada Gheorghe Asachi,47.0000780,28.8208715,,https://andys.md/,Mo-Su 09:00-23:00
Cactus,pub,,Strada Armenească,47.0180641,28.8366338,,,
McDonald's,fast_food,burger,Strada Alecu Russo,47.0446338,28.8610796,,,Mo-Su 07:00-00:00
McDonald's,fast_food,burger,Bulevardul Ștefan cel Mare și Sfânt,47.0233520,28.8347661,,https://mcdonalds.md/,Su-Th 07:00-00:30; Fr-Sa 07:00-02:30
Jack's Bar & Grill,restaurant,,Bulevardul Constantin Negruzzi,47.0151543,28.8543348,+373 789 94 444,http://jacks.md,24/7
Forshmak Gastronomic Restaurant,restaurant,jewish,Bulevardul Constantin Negruzzi,47.0150362,28.8543331,,http://forshmak.md,
Vatra Veche,restaurant,regional;romanian,Strada Melestiu,47.0020276,28.8491802,+(373)693 71 237,,Mo-Su 11:00-24:00
Star Kebab,fast_food,diner;kebab,Bulevardul Grigore Vieru,47.0296368,28.8391630,,https://starkebab.md/,Mo-Su 08:00-21:00
Foișor,restaurant,,Strada Miron Costin,47.0502315,28.8661875,,,
513,bar,,Strada Vasile Alecsandri,47.0191507,28.8359571,+373 22 908 513,,
,cafe,,,47.0620567,28.8464991,,,
Vector,cafe,,Strada Vasile Alecsandri,47.0109194,28.8276837,,,
La Roma,restaurant,italian,Strada Albișoara,47.0332918,28.8464628,+37368383232,,Mo-Su 09:00-22:00
Fanconi,restaurant,,Bulevardul Renașterii Naționale,47.0362819,28.8489300,,,
Torro Grill,restaurant,steak_house,Strada Nicolae Dimo,47.0483444,28.8707651,+373 791 74 174,https://torrogrill.md/,Mo-Fr 09:00-24:00
Mr. Green,cafe,,Strada Pietrarilor,47.0002212,28.8042357,,,
Plăcintărie,fast_food,regional,,47.0020682,28.8152043,,,Mo-Su 09:00-20:00
Café Mon Ami,cafe,coffee_shop,Strada Petru Zadnipru,47.0443088,28.8827857,,,24/7
Andy's Pizza,restaurant,pizza;burger,Bulevardul Mircea cel Bătrân,47.0393526,28.8906452,,https://www.andys.md,
AiPetry,cafe,,,47.0183499,28.8535519,,,
Andy's Pizza,restaurant,pizza;burger,Strada Calea Ieșilor,47.0408277,28.8005384,+373(022)26-54-29,https://andys.md/,Mo-Su 10:00-23:00
Andy's Pizza,restaurant,pizza;burger,Bulevardul Mircea cel Bătrân,47.0440681,28.8910899,,https://andys.md/,
Jupiter,cafe,,,47.0140798,28.8529958,,,
Dobrii Aist,cafe,,Strada Tăbăcăria Veche,47.0158874,28.8627400,,,
La Plăcinte,restaurant,regional;romanian,Bulevardul Moscova,47.0493532,28.8626961,,https://laplacinte.md/,
Berăria Costin,bar,,Strada Miron Costin,47.0505666,28.8678405,,,
,restaurant,,,47.0882841,29.0793967,,,
Kozlovna Česká Pivní Restaurace,restaurant,czech,Strada Aleksandr Pușkin,47.0227375,28.8328161,,https://kozlovna.md/,
Bar 888,cafe,,Bulevardul Constantin Negruzzi,47.0149119,28.8510775,,,
Beer House,restaurant,barbecue;pizza;chicken,Bulevardul Constantin Negruzzi,47.0138804,28.8510572,+373 22 275 627,https://www.beerhouse.md/,Mo-Su 11:00-23:00
Andy's Pizza,restaurant,pizza;burger,Strada Ismail,47.0170625,28.8470177,+373 22 265 421,https://andys.md/,Mo-Su 09:00-23:00
Pizza Mania,restaurant,pizza;italian,,47.0178038,28.8494685,,http://www.pizzamania.md/,Mo-Su 08:00-24:00
Sofra-Mangal Café,cafe,balkan,Strada Nicolae Dimo,47.0383505,28.8616076,,,
Flora,restaurant,,,47.0345041,28.8703999,,,
Sensi Bar & Café,cafe,,Bulevardul Dimitrie Cantemir,47.0158616,28.8541633,,,24/7
La Plopi Café,restaurant,romanian,Strada Calea Orheiului,47.1413575,28.8365249,,,
Foișor,fast_food,crepe;pancake,Strada Columna,47.0266459,28.8361898,,,Mo-Su 09:00-22:00
Draft,pub,american;bavarian;breakfast;burger,Strada 31 August 1989,47.0233372,28.8288537,060714444,https://facebook.com/berariadraft/,24/7
Torro Burger,restaurant,regional;coffee_shop;local,Strada Alecu Russo,47.0371051,28.8883348,+37360910110,,Mo-Su 09:00-24:00
Cantina din Blocul 4 al Universității de Stat din Moldova,cafe,,Strada Alexei Mateevici,47.0179895,28.8254307,,,
Café,cafe,,Strada Ginta Latină,47.0371381,28.8923320,,,
Gălbenuș,cafe,,Strada Aleksandr Pușkin,47.0221378,28.8320097,,,Mo-Fr 09:00-20:00; Sa-Su 10:00-19:00
Villa Garden,restaurant,local,Bulevardul Decebal,47.0018474,28.8586220,,https://www.villagarden.md/,
Provence Café,cafe,,Strada Aleksandr Pușkin,47.0257230,28.8365669,,,
El Greco,restaurant,greek,Strada Vasile Alecsandri,47.0228323,28.8413562,+373 697 11 151,http://el-greco.hq.md,Su-Th 09:30-23:00; Fr-Sa 09:30-01:00
,pub,,,47.0296002,28.8528215,,,
Tîrgul Verde,pub,,,47.0255717,28.8543644,,,
Tîrgul Verde,fast_food,,,47.0254254,28.8544271,,,
Wurst,fast_food,,Bulevardul Ștefan cel Mare și Sfânt,47.0318340,28.8220401,,,
Andy's Pizza,restaurant,,Strada Ceucari,47.0599905,28.8473103,,http://www.andys-pizza.com/,Mo-Su 10:00-22:00
Fortus Café,cafe,,Bulevardul Grigore Vieru,47.0300029,28.8395190,,,
Star Kebab,fast_food,,Strada 31 August 1989,47.0210934,28.8313952,,https://starkebab.md/,Mo-Su 08:00-23:00
Caravan,restaurant,uzbek,Strada Mihai Eminescu,47.0228217,28.8384245,,,Mo-Su 10:00-23:00
Andy's Pizza,restaurant,pizza;burger,Strada Lev Tolstoi,47.0105507,28.8423844,,https://www.andys.md,
Piers,restaurant,seafood,Strada Ghioceilor,47.0189454,28.8084182,+37360660505,,
Sheng,bar,,Strada Alexandru Hâjdeu,47.0208060,28.8523687,,,
Molda,restaurant,romanian,Strada Sfântul Gheorghe,47.0229841,28.8523616,,,
Simpatic Café,cafe,,Strada Alba Iulia,47.0371038,28.7698796,,,
Granier,cafe,,Strada Alba Iulia,47.0381684,28.7698371,,,
Diva,restaurant,,Strada Tighina,47.0200506,28.8461069,,,
Pivzavod,pub,,Bulevardul Mircea cel Bătrân,47.0509533,28.8913264,,https://pivzavod.md,
Tic Tac,cafe,regional,Strada Mitropolit Varlaam,47.0217564,28.8405556,,,
La Plăcinte,restaurant,regional;romanian,Șoseaua Hâncești,47.0039514,28.8182608,+373 22 265 443,https://laplacinte.md/,Mo-Su 10:00-22:00
Granier,cafe,,Strada Tighina,47.0173654,28.8427472,,,Mo-Su 09:00-20:00
Nota Bene,fast_food,,Bulevardul Ștefan cel Mare și Sfânt,47.0168094,28.8435993,,,Mo-Su 09:00-22:00
Crème de la Crème,cafe,french,Strada Alexandru cel Bun,47.0278105,28.8367444,+373 22 222 011,,Mo-Fr 07:30-21:30; Sa 08:00-22:00; Su 09:00-22:00
London's SteakHouse,restaurant,,Bulevardul Constantin Negruzzi,47.0133412,28.8531814,,,
KFC,fast_food,chicken,Strada Arborilor,47.0042942,28.8409757,,,Mo-Su 09:00-20:00
McDonald's,fast_food,burger,Strada Arborilor,47.0046362,28.8412066,,https://www.mcdonalds.md,Mo-Su 10:00-22:00
Icam,restaurant,,Strada Tighina,47.0196549,28.8466807,,,
Stil Café,cafe,,Strada Unirii,47.0954728,28.8683474,,,
Trattoria Della Nonna,restaurant,,Bulevardul Mircea cel Bătrân,47.0384530,28.8904461,+373 606 69 829,,Mo-Su 08:00-23:00
Sisters,cafe,international,Strada Mihai Eminescu,47.0201894,28.8346827,,,
Airport Catering,fast_food,,,47.0271748,28.8237396,,,
Jolly Alon Restaurant,restaurant,,Strada Maria Cebotari,47.0266105,28.8258815,,,
Cantina „Nucarul”,fast_food,,,47.0283119,28.8191535,,,
Tucano Coffee Costa Rica,cafe,,Strada Aleksandr Pușkin,47.0206070,28.8293329,,https://www.tucano.md,Mo-Fr 07:30-22:00; Sa-Su 08:30-22:00
La Plăcinte,restaurant,regional;romanian,Bulevardul Mircea cel Bătrân,47.0444409,28.8911177,,https://laplacinte.md/,
Star Kebab,fast_food,kebab,,47.0396260,28.8597906,,https://starkebab.md/,
Niconelli,cafe,,Strada Aron Pumnul,47.1249500,28.8651249,,,
La Iura,bar,,Strada Lăpușnei,47.0092690,28.8197535,,,
The Penthouse Café,cafe,,Bulevardul Ștefan cel Mare și Sfânt,47.0264326,28.8281239,,,
Andy's Pizza,restaurant,pizza;burger,Strada Aleksandr Pușkin,47.0254960,28.8371581,,https://andys.md/,
Andy's Pizza,restaurant,pizza;burger,Bulevardul Moscova,47.0447761,28.8607553,,https://andys.md/,Mo-Su 10:00-23:00
Tucano Coffee Brazil,cafe,,Strada Alexandru cel Bun,47.0285943,28.8350629,+373 22 211 444,,"Mo-Fr 08:00-21:00; Sa,Su 08:30-21:00"
IPA XXXI,pub,,Strada 31 August 1989,47.0236822,28.8288363,,,
Grill House,restaurant,steak_house,Strada Armenească,47.0161013,28.8345091,+373 790 00 071,,Mo-Su 11:00-20:00
Rugby House Pub,restaurant,,Bulevardul Mircea cel Bătrân,47.0515088,28.8893945,,,
Divertis,fast_food,,Strada Mihail Kogălniceanu,47.0210173,28.8233185,,,
Express cazac,bar,,Strada Bogdan Petriceicu Hașdeu,47.0979971,28.8287306,,,
Cantina Palatului Național „Nicolae Sulac”,fast_food,,,47.0228227,28.8308534,,,
Pizza Mania,restaurant,pizza,Strada Mitropolit Gavriil Bănulescu-Bodoni,47.0268795,28.8326123,,http://www.pizzamania.md,Mo-Su 08:00-24:00
El Paso,restaurant,mexican,Strada Armenească,47.0142915,28.8316053,,,11:00-23:00
Carmelo,restaurant,italian,Strada Veronica Micle,47.0191623,28.8371209,,,
Gök-Oğuz,restaurant,gagauz;turkish;regional,Strada Calea Orheiului,47.0425958,28.8447884,+373 79 46 88 52,,Mo-Su 10:00-23:00
Gălbenuș,cafe,regional,Strada Ciocana,47.0207166,28.8865927,,,
Andy's Express,fast_food,pizza,Strada Meșterul Manole,47.0197668,28.8860602,,https://andys-pizza.md/,8:00 - 19:00
Beer-Corner,bar,,Bulevardul Iuri Gagarin,47.0103927,28.8600615,,,
Poluăctov,bar,,Bulevardul Iuri Gagarin,47.0101978,28.8603779,,,
,bar,,,47.0377015,28.8927817,,,
Doner Kebab,cafe,kebab,Șoseaua Hâncești,47.0027541,28.8171515,,,10:00-22:00
Garrison Café,cafe,,Șoseaua Hâncești,47.0074854,28.8260275,,,Mo-Su 09:00-22:00
Queen's Café Bar,cafe,,Șoseaua Hâncești,47.0027240,28.8170924,,,10:00-03:00
Valtanis Prim,restaurant,regional,,47.0103241,28.8202460,,,08:00-23:00
Valtanis Prim,cafe,,,47.0103455,28.8202894,,,09:00-24:00
Cantina Sindicatelor,cafe,regional,,47.0254014,28.8240438,,,
Crama Veche,restaurant,romanian,Strada 31 August 1989,47.0133842,28.8434844,,,
Oliva,restaurant,italian,Bulevardul Moscova,47.0462107,28.8617308,,https://oliva.md/,Mo-Su 09:30-23:00
Pizzeria Caruso,restaurant,pizza;italian,Bulevardul Ștefan cel Mare și Sfânt,47.0315560,28.8214911,,https://www.pizzeriacaruso.md/,Mo-Su 11:00-23:00
Uptown Café,restaurant,burger,Strada Alexandr Pușkin,47.0179996,28.8261249,+373 787 75 701,,Su-Th 11:00-23:00; Fr-Sa 11:00-00:00
Brainstorm Café,cafe,,Strada Aleksandr Pușkin,47.0281487,28.8407406,+373 695 42 210,,
À la Minute,restaurant,canteen,Bulevardul Ștefan cel Mare și Sfânt,47.0307549,28.8227349,,,08:00-18:00
Acasă la Mama,restaurant,regional;romanian,Strada Petru Rareș,47.0363806,28.8404898,,,
Armonie,restaurant,,,47.0899551,28.8301554,,,
Andy's Express,fast_food,pizza,Strada Aleksandr Pușkin,47.0214693,28.8314004,,,
Casa Părintească,restaurant,regional;romanian,Strada Alba Iulia,47.0412373,28.7630761,,,Mo-Su 10:00-22:00
Eli-Pili,restaurant,international,Strada București,47.0218968,28.8285327,,,24/7
Black Rabbit Gastro-Burrow,cafe,,Strada Vlaicu Pârcălab,47.0220512,28.8327018,,,
DriveCafe,cafe,,Strada Chișinău,47.0642782,28.8550660,,,12:00-21:00
Hanul lui Pavel,bar,,,47.0638116,28.8472167,,,
Vlacolax,bar,,,47.0612826,28.8414401,,,
Paradise,restaurant,,,47.0557277,28.8503486,,,Fr-Sa 23:00-05:00
Astoria,restaurant,,Strada Calea Orheiului,47.0552598,28.8506944,,,
cappucio,cafe,,Strada Ceucari,47.0591508,28.8478565,,https://www.eurooptica.md/,Mo-Su 08:00-20:00
Plăcintăria „Cuptoraș”,restaurant,,Strada Mitropolit Varlaam,47.0219267,28.8409512,+373 795 86 040,,
Pizza Mania,restaurant,pizza,Bulevardul Ștefan cel Mare și Sfânt,47.0240104,28.8346107,,http://www.pizzamania.md/,Mo-Su 08:00-24:00
Fast Kebab,fast_food,kebab,Bulevardul Moscova,47.0572868,28.8668773,022 324 766,http://fastkebab.net/,Mo-Su 08:00-22:00
Vasabi,restaurant,japanese,Bulevardul Moscova,47.0444246,28.8605394,,,
KFC,fast_food,chicken,Bulevardul Moscova,47.0444985,28.8605918,,https://kfc-md.md/,Mo-Su 09:00-23:00
Amfion Café,cafe,,Șoseaua Muncești,47.0076653,28.8645816,,,Mo-Su 10:00-22:00
Coral Café,cafe,,Bulevardul Moscova,47.0586874,28.8666186,,,24/7
Star Kebab,fast_food,kebab,Bulevardul Mircea cel Bătrân,47.0461710,28.8912584,,,
Coffee Time,cafe,,,47.0259066,28.8367648,,,Mo-Su 07:30-22:00
Brother's Pub,pub,irish,Strada Mihai Eminescu,47.0187402,28.8320593,,,
Barbar,bar,,Strada Mihai Eminescu,47.0210914,28.8353742,,http://4sq.com/2fNDIOO,
Gastrobar,restaurant,french;fine_dining,Strada Alexandru Bernardazzi,47.0166644,28.8271328,,,
BIOrganic Raw Café,cafe,,Strada Mihai Eminescu,47.0201521,28.8340033,+373 784 80 007,https://biorganic.md,Mo-Fr 08:00-20:00; Sa 09:00-20:00; Su 09:00-18:00
Cantina UTM,restaurant,,Strada Studenților,47.0619408,28.8690517,,,
MadMan's Pub,pub,,Strada Alexei Șciusev,47.0164687,28.8326697,,,Tu-Su 15:00-22:00
Kebab House,fast_food,kebab,Strada Alba Iulia,47.0379230,28.7715464,,,
Ciao Pizza,restaurant,pizza,Strada Maria Drăgan,47.0188795,28.8803742,069611228,,Mo-Su 11:00-23:00
Mojito,cafe,,Bulevardul Ștefan cel Mare și Sfânt,47.0273219,28.8302317,+373 601 91 111,,24/7
Râșcanu Vechi,bar,,,47.0368257,28.8656278,,,
Alimentara,bar,,Strada Ginta Latină,47.0383772,28.8945434,,,Mo-Su 08:00-02:00
Traianbeer,pub,,Strada Alba Iulia,47.0385870,28.7657138,,,
Pub,bar,,,47.0383973,28.8943863,,,
Manhattan Restaurant,restaurant,,Strada Ciuflea,47.0121693,28.8446640,,,
u Čehov,restaurant,czech,Bulevardul Renașterii Naționale,47.0363892,28.8489195,+373 791 6 31 63,https://ucehov.md/,Mo-Su 12:00-24:00
DAS Café,cafe,coffee_shop,Strada Calea Ieșilor,47.0393075,28.8043570,,http://4sq.com/1RTayvO,
,bar,,,47.1394710,28.8650749,,,
Foișor,fast_food,,Bulevardul Mircea cel Bătrân,47.0488151,28.8911404,,,
Bar,bar,,,47.0196147,28.8825441,,,Mo-Su 08:00-22:00
Teremoc,bar,,Strada Maria Drăgan,47.0212314,28.8828576,,,
La Ion,restaurant,,Strada Plopilor,47.0143677,28.7522048,,,Mo-Su 09:00-23:00
Draft,bar,american;burger;international,Bulevardul Mircea cel Bătrân,47.0447079,28.8896063,+373 78887555,,24/7
Rozmarin Café,cafe,seafood;spanish;regional;noodles;asian;sandwich;coffee_shop;local;tea;friture;burger;cake;pasta;fish;international;breakfast,Bulevardul Ștefan cel Mare și Sfânt,47.0373837,28.8150053,,,Mo-Su 09:00-22:00
Cantina Socială „Regina Pacis“,fast_food,,Strada Avram Iancu,47.0196623,28.8505534,+373 22 212 977,https://reginapacis.org/,"Mo-Fr 09:00-11:00, 15:00-17:00"
Kira's Club,bar,,Strada Veronica Micle,47.0200583,28.8356840,,,
Karaoke Home Club,bar,,Strada Mitropolit Varlaam,47.0175259,28.8468141,,,
Restobar,restaurant,,,47.1001678,28.8186211,,,Mo-Su 09:30-23:00
Hiorra,cafe,coffee_shop,Strada Vasile Alecsandri,47.0179334,28.8341714,,,Mo-Sa 08:00-19:00
MuzCafé,pub,,Strada Albișoara,47.0342617,28.8450107,+373 681 04444,,24/7
Little Napoli,restaurant,pizza,Strada Alexei Șciusev,47.0204400,28.8273516,,,Mo-Su 10:00-22:00
Imbiss Pizza,cafe,,Strada Ion Creangă,47.0288775,28.7973978,,,Mo-Su 09:00-23:00
Park Avenue,restaurant,,Bulevardul Decebal,47.0054427,28.8590766,,,
Big Kebab Pizza & Burgers,fast_food,,Strada Calea Ieșilor,47.0377531,28.8083244,,,
Tratoria Della Nonna,restaurant,,Strada Calea Ieșilor,47.0380177,28.8068636,,,24/7
Taxi Blues Café,cafe,,Strada Alba Iulia,47.0354461,28.7748495,,,Mo-Su 09:00-02:00
Biliard „Marius”,bar,,,47.0051557,28.8937191,,,
Et-Çi Mill & Grill,restaurant,,Strada Columna,47.0189989,28.8476559,,,
Cafenea Express,cafe,,Bulevardul Moscova,47.0568946,28.8667287,,,
Ony's Cafè,cafe,,Strada Albișoara,47.0379885,28.8315325,,,Mo-Su 12:00-23:00
,pub,,,47.0356953,28.8291654,,,
Andy's Pizza,restaurant,breakfast;pizza,,47.0558156,28.8920170,,https://www.andys.md/,
Grill Express,fast_food,kebab,Strada Voluntarilor,47.0068928,28.8933290,,,Mo-Su 08:00-22:00
PartyZAN Game Private Club,pub,,Strada Onisifor Ghibu,47.0335489,28.7746074,+373 22 581 048,,Mo-Su 14:00-01:00
Salat,restaurant,,Strada Alba Iulia,47.0423184,28.7624870,+373 797 00 777,,Mo-Su 08:00-01:00
,bar,,,47.1000047,28.7683769,,,
Bar,bar,,,47.0446799,28.8975875,,,
Testo,cafe,,Strada Onisifor Ghibu,47.0388694,28.7801746,+373 790 76 088,https://gustos.md/,Su-Th 09:00-00:00; Fr-Sa 09:00-02:00
Green Pub,pub,,Strada Alba Iulia,47.0395068,28.7721446,+373 22 854 234,,Mo-Su 11:00-03:00
Cafea și Carne,cafe,,Strada Octavian Goga,47.0265694,28.8409908,+373 691 46718,,Mo-Th 09:00-20:00; Fr 09:00-23:00; Sa-Su 12:00-23:00
Star Kebab,fast_food,kebab,Strada Alecu Russo,47.0449721,28.8620069,+373 22 855 727,https://starkebab.md/,24/7
Kimbo Bar & Showroom,cafe,sandwich;breakfast;ice_cream;tea;coffee_shop;pasta;italian;diner,Strada Bogdan Voievod,47.0439911,28.8583699,+373 607 79 777,http://www.kimbo.md,Mo-Su 08:00-22:00
Cafenea,cafe,,Strada Alexei Mateevici,47.1037285,28.8638659,,,
Căsuța Bunicii,restaurant,regional;romanian,Strada Dumbrava,47.1088091,28.8662957,,http://casutabunicii.md/,
Fabulous Kebab,fast_food,kebab,Strada Ion Creangă,47.0363881,28.8106547,,,Mo-Su 09:00-21:00
Kuhnya,restaurant,ukrainian,Strada Calea Moșilor,47.0391820,28.8448824,,,
Bar „Octan“,bar,,Stradela Uzinelor,47.0098360,28.8851359,,,Mo-Sa 09:00-18:00
Equator,restaurant,,Strada Alexandru Bernardazzi,47.0157775,28.8290563,,,
Sălcioara,restaurant,regional;moldovan,Strada Aleksandr Pușkin,47.0280789,28.8399204,,https://salcioara.md/,Mo-Fr 10:00-23:00
Bar Terasa,bar,,Strada Vasile Badiu,47.0519030,28.8457179,,,Mo-Su 11:00-23:00
Ospătărie S.A Cariera Micăuți,cafe,,,47.1892927,28.7709052,,,Mo-Fr 11:40-15:00
Double Beer Pub,pub,,Strada Igor Vieru,47.0500944,28.8840371,,,
Amaris Garden,restaurant,,Strada Socoleni,47.0619417,28.8502950,,,
Granier,fast_food,croissant,Bulevardul Moscova,47.0457657,28.8621714,,,Mo-Su 08:00-20:00
Mojito,restaurant,,Bulevardul Moscova,47.0507432,28.8634903,,,
Don Cezar Pizza & Grill,restaurant,pizza,Bulevardul Mircea cel Bătrân,47.0476583,28.8912307,,,
Paradis,cafe,,Strada Petricani,47.0534927,28.8110329,,,
Chick'Inn,fast_food,,Strada Tudor Vladimirescu,47.0275230,28.7718090,,,
Andy's,restaurant,pizza;burger,Bulevardul Ștefan cel Mare și Sfânt,47.0214945,28.8365678,+373 22 265 434,https://andys.md/,Mo-Su 09:00-23:00
Pizza House,restaurant,,Bulevardul Moscova,47.0519841,28.8648607,,,
Kalamaki Greek Taverna,restaurant,,Strada Mitropolitul Varlaam,47.0238565,28.8380649,,,
McDonald's,fast_food,burger,Strada Calea Ieșilor,47.0396590,28.8031630,,,
Taxi Blues Café,cafe,,Strada Petru Zadnipru,47.0437878,28.8897681,,,
Trattoria Della Nonna,restaurant,italian,Strada Mihail Sadoveanu,47.0445726,28.8822644,,https://trattoria.md/,
Ospătărie,cafe,,,47.0164772,28.8880579,,,
Laspi,bar,,Bulevardul Mircea cel Bătrân,47.0444797,28.8898456,,,
Ospătărie,cafe,,,47.0223547,28.8869510,,,
